root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Ser_clusters,DA_clusters,Glut_clusters,Oct_clusters
720575940621325338,flow,afferent,486,400,0.25,0.04,0.01,0.018518518518518517,0.40329218106995884,0.00205761316872428,0.01646090534979424,0.44650205761316875,0.11316872427983539,0.0,True,True,True,True,,False
720575940631228719,flow,afferent,496,400,0.25,0.14285714285714285,0.01,0.014112903225806451,0.3709677419354839,0.0020161290322580645,0.0020161290322580645,0.5241935483870968,0.08669354838709678,0.0,False,True,True,True,,
720575940631228719,flow,afferent,496,400,0.25,0.04,0.01,0.014112903225806451,0.3709677419354839,0.0020161290322580645,0.0020161290322580645,0.5241935483870968,0.08669354838709678,0.0,False,True,True,True,,
720575940635184485,flow,afferent,553,400,0.25,0.14285714285714285,0.01,0.007233273056057866,0.35443037974683544,0.018083182640144666,0.0,0.46835443037974683,0.15009041591320071,0.0018083182640144665,False,True,True,True,True,
720575940635184485,flow,afferent,553,400,0.25,0.04,0.01,0.007233273056057866,0.35443037974683544,0.018083182640144666,0.0,0.46835443037974683,0.15009041591320071,0.0018083182640144665,False,True,True,True,True,
720575940626147971,flow,afferent,478,400,0.25,0.14285714285714285,0.01,0.014644351464435146,0.2803347280334728,0.0,0.0020920502092050207,0.5836820083682008,0.1192468619246862,0.0,False,True,True,True,,
720575940626147971,flow,afferent,478,400,0.25,0.04,0.01,0.014644351464435146,0.2803347280334728,0.0,0.0020920502092050207,0.5836820083682008,0.1192468619246862,0.0,False,True,True,True,,
720575940624951020,flow,afferent,481,400,0.25,0.14285714285714285,0.01,0.012474012474012475,0.39293139293139295,0.002079002079002079,0.0,0.3762993762993763,0.21621621621621623,0.0,False,True,True,True,,
720575940624951020,flow,afferent,481,400,0.25,0.04,0.01,0.012474012474012475,0.39293139293139295,0.002079002079002079,0.0,0.3762993762993763,0.21621621621621623,0.0,False,True,True,True,,
720575940649134969,flow,afferent,559,400,0.25,0.14285714285714285,0.01,0.005366726296958855,0.4150268336314848,0.0035778175313059034,0.01073345259391771,0.4329159212880143,0.13237924865831843,0.0,False,True,True,True,False,True
720575940649134969,flow,afferent,559,400,0.25,0.04,0.01,0.005366726296958855,0.4150268336314848,0.0035778175313059034,0.01073345259391771,0.4329159212880143,0.13237924865831843,0.0,False,True,True,True,False,False
720575940606698882,flow,afferent,468,400,0.25,0.14285714285714285,0.01,0.0405982905982906,0.3418803418803419,0.008547008547008548,0.0,0.45085470085470086,0.1581196581196581,0.0,True,True,True,True,True,
720575940606698882,flow,afferent,468,400,0.25,0.04,0.01,0.0405982905982906,0.3418803418803419,0.008547008547008548,0.0,0.45085470085470086,0.1581196581196581,0.0,True,True,True,True,False,
720575940620577217,flow,afferent,495,400,0.25,0.14285714285714285,0.01,0.022222222222222223,0.2,0.00404040404040404,0.0,0.6,0.17373737373737375,0.0,True,True,True,True,False,
720575940620577217,flow,afferent,495,400,0.25,0.04,0.01,0.022222222222222223,0.2,0.00404040404040404,0.0,0.6,0.17373737373737375,0.0,False,True,True,True,False,
720575940625825820,flow,afferent,407,400,0.25,0.14285714285714285,0.01,0.019656019656019656,0.20884520884520885,0.007371007371007371,0.009828009828009828,0.5798525798525799,0.17444717444717445,0.0,False,True,True,True,False,True
720575940625825820,flow,afferent,407,400,0.25,0.04,0.01,0.019656019656019656,0.20884520884520885,0.007371007371007371,0.009828009828009828,0.5798525798525799,0.17444717444717445,0.0,False,True,True,True,False,True
720575940614522847,flow,afferent,834,400,0.25,0.14285714285714285,0.01,0.04196642685851319,0.4184652278177458,0.005995203836930456,0.0,0.42206235011990406,0.11151079136690648,0.0,True,True,True,True,False,
720575940614522847,flow,afferent,834,400,0.25,0.04,0.01,0.04196642685851319,0.4184652278177458,0.005995203836930456,0.0,0.42206235011990406,0.11151079136690648,0.0,True,True,True,True,False,
720575940636187054,flow,afferent,773,400,0.25,0.14285714285714285,0.01,0.040103492884864166,0.3350582147477361,0.00517464424320828,0.00129366106080207,0.4411384217335058,0.17723156532988357,0.0,True,True,True,True,False,
720575940636187054,flow,afferent,773,400,0.25,0.04,0.01,0.040103492884864166,0.3350582147477361,0.00517464424320828,0.00129366106080207,0.4411384217335058,0.17723156532988357,0.0,False,True,True,True,False,
720575940627526735,flow,afferent,607,400,0.25,0.14285714285714285,0.01,0.04118616144975288,0.2553542009884679,0.019769357495881382,0.014827018121911038,0.5255354200988468,0.14332784184514002,0.0,True,True,True,True,True,False
720575940627526735,flow,afferent,607,400,0.25,0.04,0.01,0.04118616144975288,0.2553542009884679,0.019769357495881382,0.014827018121911038,0.5255354200988468,0.14332784184514002,0.0,False,True,True,True,False,False
720575940614559163,flow,afferent,898,400,0.25,0.14285714285714285,0.01,0.030066815144766147,0.5155902004454342,0.015590200445434299,0.005567928730512249,0.3307349665924276,0.10244988864142539,0.0,True,True,True,True,False,False
720575940614559163,flow,afferent,898,400,0.25,0.04,0.01,0.030066815144766147,0.5155902004454342,0.015590200445434299,0.005567928730512249,0.3307349665924276,0.10244988864142539,0.0,True,True,True,True,False,False
720575940622564621,flow,afferent,736,400,0.25,0.14285714285714285,0.01,0.03125,0.30842391304347827,0.016304347826086956,0.005434782608695652,0.49184782608695654,0.14673913043478262,0.0,True,True,True,True,True,False
720575940622564621,flow,afferent,736,400,0.25,0.04,0.01,0.03125,0.30842391304347827,0.016304347826086956,0.005434782608695652,0.49184782608695654,0.14673913043478262,0.0,True,True,True,True,True,False
720575940618645963,flow,afferent,404,400,0.25,0.14285714285714285,0.01,0.04207920792079208,0.655940594059406,0.0,0.0024752475247524753,0.25495049504950495,0.04455445544554455,0.0,True,True,True,True,,
720575940618645963,flow,afferent,404,400,0.25,0.04,0.01,0.04207920792079208,0.655940594059406,0.0,0.0024752475247524753,0.25495049504950495,0.04455445544554455,0.0,True,True,True,True,,
720575940621943139,flow,afferent,469,400,0.25,0.14285714285714285,0.01,0.053304904051172705,0.582089552238806,0.0,0.0021321961620469083,0.32196162046908317,0.04051172707889126,0.0,True,True,True,True,,
720575940621943139,flow,afferent,469,400,0.25,0.04,0.01,0.053304904051172705,0.582089552238806,0.0,0.0021321961620469083,0.32196162046908317,0.04051172707889126,0.0,True,True,True,True,,
720575940630704953,flow,afferent,570,400,0.25,0.14285714285714285,0.01,0.054385964912280704,0.6842105263157895,0.0035087719298245615,0.007017543859649123,0.21929824561403508,0.031578947368421054,0.0,True,True,True,True,False,False
720575940630704953,flow,afferent,570,400,0.25,0.04,0.01,0.054385964912280704,0.6842105263157895,0.0035087719298245615,0.007017543859649123,0.21929824561403508,0.031578947368421054,0.0,True,True,True,False,False,False
720575940625855833,flow,afferent,453,400,0.25,0.14285714285714285,0.01,0.02869757174392936,0.6114790286975718,0.0,0.0,0.3333333333333333,0.026490066225165563,0.0,True,True,True,True,,
720575940625855833,flow,afferent,453,400,0.25,0.04,0.01,0.02869757174392936,0.6114790286975718,0.0,0.0,0.3333333333333333,0.026490066225165563,0.0,False,True,True,True,,
720575940635596901,flow,afferent,404,400,0.25,0.14285714285714285,0.01,0.05198019801980198,0.6188118811881188,0.0,0.007425742574257425,0.297029702970297,0.024752475247524754,0.0,True,True,True,True,,False
720575940635596901,flow,afferent,404,400,0.25,0.04,0.01,0.05198019801980198,0.6188118811881188,0.0,0.007425742574257425,0.297029702970297,0.024752475247524754,0.0,True,True,True,False,,False
720575940621456349,flow,afferent,486,400,0.25,0.14285714285714285,0.01,0.04938271604938271,0.5905349794238683,0.0,0.0,0.3292181069958848,0.030864197530864196,0.0,True,True,True,True,,
720575940621456349,flow,afferent,486,400,0.25,0.04,0.01,0.04938271604938271,0.5905349794238683,0.0,0.0,0.3292181069958848,0.030864197530864196,0.0,True,True,True,True,,
720575940607818965,flow,afferent,401,400,0.25,0.14285714285714285,0.01,0.034912718204488775,0.628428927680798,0.0024937655860349127,0.0024937655860349127,0.30174563591022446,0.029925187032418952,0.0,True,True,True,True,,
720575940607818965,flow,afferent,401,400,0.25,0.04,0.01,0.034912718204488775,0.628428927680798,0.0024937655860349127,0.0024937655860349127,0.30174563591022446,0.029925187032418952,0.0,True,True,True,True,,
720575940622492637,flow,afferent,471,400,0.25,0.14285714285714285,0.01,0.036093418259023353,0.6539278131634819,0.0,0.0,0.28450106157112526,0.025477707006369428,0.0,True,True,True,True,,
720575940622492637,flow,afferent,471,400,0.25,0.04,0.01,0.036093418259023353,0.6539278131634819,0.0,0.0,0.28450106157112526,0.025477707006369428,0.0,True,True,True,False,,
720575940621072297,flow,afferent,722,400,0.25,0.14285714285714285,0.01,0.045706371191135735,0.5983379501385041,0.0,0.0,0.2548476454293629,0.10110803324099724,0.0,True,True,True,True,,
720575940621072297,flow,afferent,722,400,0.25,0.04,0.01,0.045706371191135735,0.5983379501385041,0.0,0.0,0.2548476454293629,0.10110803324099724,0.0,True,True,True,True,,
720575940610081746,flow,afferent,460,400,0.25,0.14285714285714285,0.01,0.008695652173913044,0.5739130434782609,0.002173913043478261,0.0,0.3760869565217391,0.03695652173913044,0.002173913043478261,False,True,True,True,,
720575940610081746,flow,afferent,460,400,0.25,0.04,0.01,0.008695652173913044,0.5739130434782609,0.002173913043478261,0.0,0.3760869565217391,0.03695652173913044,0.002173913043478261,False,True,True,False,,
720575940617034013,flow,afferent,544,400,0.25,0.14285714285714285,0.01,0.034926470588235295,0.6415441176470589,0.003676470588235294,0.0,0.2757352941176471,0.04411764705882353,0.0,True,True,True,True,False,
720575940617034013,flow,afferent,544,400,0.25,0.04,0.01,0.034926470588235295,0.6415441176470589,0.003676470588235294,0.0,0.2757352941176471,0.04411764705882353,0.0,True,True,True,True,False,
720575940625589593,flow,afferent,471,400,0.25,0.14285714285714285,0.01,0.016985138004246284,0.5753715498938429,0.0,0.0,0.37154989384288745,0.036093418259023353,0.0,False,True,True,True,,
720575940625589593,flow,afferent,471,400,0.25,0.04,0.01,0.016985138004246284,0.5753715498938429,0.0,0.0,0.37154989384288745,0.036093418259023353,0.0,False,True,True,False,,
720575940629528827,flow,afferent,490,400,0.25,0.14285714285714285,0.01,0.024489795918367346,0.6387755102040816,0.0020408163265306124,0.0,0.3142857142857143,0.02040816326530612,0.0,True,True,True,True,,
