root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Ser_clusters,DA_clusters,Glut_clusters,Oct_clusters,Unknown_clusters
720575940616832901,flow,afferent,2120,400,0.25,0.14285714285714285,0.01,0.4481132075471698,0.1400943396226415,0.394811320754717,0.002830188679245283,0.008018867924528302,0.005660377358490566,0.0004716981132075472,True,True,False,False,True,False,
720575940616832901,flow,afferent,2120,400,0.25,0.04,0.01,0.4481132075471698,0.1400943396226415,0.394811320754717,0.002830188679245283,0.008018867924528302,0.005660377358490566,0.0004716981132075472,True,True,False,False,True,False,
720575940616224576,flow,afferent,1099,400,0.25,0.14285714285714285,0.01,0.047315741583257506,0.6305732484076433,0.01910828025477707,0.0018198362147406734,0.24931756141947226,0.050955414012738856,0.0009099181073703367,True,True,True,True,False,False,
720575940616224576,flow,afferent,1099,400,0.25,0.04,0.01,0.047315741583257506,0.6305732484076433,0.01910828025477707,0.0018198362147406734,0.24931756141947226,0.050955414012738856,0.0009099181073703367,True,True,True,False,False,False,
720575940635206763,flow,afferent,776,400,0.25,0.14285714285714285,0.01,0.007731958762886598,0.8775773195876289,0.03350515463917526,0.0,0.03865979381443299,0.04252577319587629,0.0,False,True,False,True,False,,
720575940635206763,flow,afferent,776,400,0.25,0.04,0.01,0.007731958762886598,0.8775773195876289,0.03350515463917526,0.0,0.03865979381443299,0.04252577319587629,0.0,False,True,False,False,False,,
720575940618192694,flow,afferent,4175,400,0.25,0.14285714285714285,0.01,0.01125748502994012,0.9348502994011976,0.007664670658682635,0.0031137724550898203,0.022035928143712576,0.020838323353293414,0.00023952095808383233,False,True,False,False,False,False,
720575940618192694,flow,afferent,4175,400,0.25,0.04,0.01,0.01125748502994012,0.9348502994011976,0.007664670658682635,0.0031137724550898203,0.022035928143712576,0.020838323353293414,0.00023952095808383233,False,True,False,False,False,False,
720575940660211841,flow,afferent,1096,400,0.25,0.14285714285714285,0.01,0.01916058394160584,0.9498175182481752,0.0018248175182481751,0.0,0.023722627737226276,0.005474452554744526,0.0,False,True,True,False,False,,
720575940660211841,flow,afferent,1096,400,0.25,0.04,0.01,0.01916058394160584,0.9498175182481752,0.0018248175182481751,0.0,0.023722627737226276,0.005474452554744526,0.0,False,True,False,False,False,,
720575940611514282,flow,afferent,1779,400,0.25,0.14285714285714285,0.01,0.006183249016301293,0.8111298482293423,0.02023608768971332,0.0011242270938729624,0.13265879707700956,0.02866779089376054,0.0,False,True,True,True,True,False,
720575940611514282,flow,afferent,1779,400,0.25,0.04,0.01,0.006183249016301293,0.8111298482293423,0.02023608768971332,0.0011242270938729624,0.13265879707700956,0.02866779089376054,0.0,False,True,True,False,False,False,
720575940618907376,flow,afferent,1899,400,0.25,0.14285714285714285,0.01,0.00421274354923644,0.5771458662453923,0.02738283307003686,0.001579778830963665,0.3412322274881517,0.047919957872564506,0.000526592943654555,False,True,True,True,True,False,
720575940618907376,flow,afferent,1899,400,0.25,0.04,0.01,0.00421274354923644,0.5771458662453923,0.02738283307003686,0.001579778830963665,0.3412322274881517,0.047919957872564506,0.000526592943654555,False,True,True,False,False,False,
720575940623529354,flow,afferent,1472,400,0.25,0.14285714285714285,0.01,0.020380434782608696,0.8586956521739131,0.09510869565217392,0.0,0.006114130434782609,0.01970108695652174,0.0,True,True,False,True,True,,
720575940623529354,flow,afferent,1472,400,0.25,0.04,0.01,0.020380434782608696,0.8586956521739131,0.09510869565217392,0.0,0.006114130434782609,0.01970108695652174,0.0,False,True,False,False,True,,
720575940627410042,flow,afferent,3965,400,0.25,0.14285714285714285,0.01,0.02219419924337957,0.7924337957124843,0.1523329129886507,0.00201765447667087,0.013114754098360656,0.017402269861286256,0.0005044136191677175,False,True,False,False,True,False,False
720575940627410042,flow,afferent,3965,400,0.25,0.04,0.01,0.02219419924337957,0.7924337957124843,0.1523329129886507,0.00201765447667087,0.013114754098360656,0.017402269861286256,0.0005044136191677175,False,True,False,False,True,False,False
720575940616824197,flow,afferent,1625,400,0.25,0.14285714285714285,0.01,0.0,0.9716923076923077,0.003076923076923077,0.0024615384615384616,0.009230769230769232,0.01353846153846154,0.0,,True,False,False,False,False,
720575940616824197,flow,afferent,1625,400,0.25,0.04,0.01,0.0,0.9716923076923077,0.003076923076923077,0.0024615384615384616,0.009230769230769232,0.01353846153846154,0.0,,True,False,False,False,False,
720575940616824709,flow,afferent,1188,400,0.25,0.14285714285714285,0.01,0.004208754208754209,0.9696969696969697,0.004208754208754209,0.0008417508417508417,0.010942760942760943,0.010101010101010102,0.0,False,True,False,False,False,,
720575940616824709,flow,afferent,1188,400,0.25,0.04,0.01,0.004208754208754209,0.9696969696969697,0.004208754208754209,0.0008417508417508417,0.010942760942760943,0.010101010101010102,0.0,False,True,False,False,False,,
