root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Glut_clusters,Ser_clusters,DA_clusters,Unknown_clusters,Oct_clusters
720575940617803803,flow,afferent,750,400,0.25,0.14285714285714285,0.01,0.005333333333333333,0.5733333333333334,0.208,0.009333333333333334,0.068,0.13466666666666666,0.0013333333333333333,False,True,True,True,True,,False
720575940617803803,flow,afferent,750,400,0.25,0.04,0.01,0.005333333333333333,0.5733333333333334,0.208,0.009333333333333334,0.068,0.13466666666666666,0.0013333333333333333,False,True,True,True,True,,False
720575940635290231,flow,afferent,1109,400,0.25,0.14285714285714285,0.01,0.024346257889990983,0.7781785392245266,0.030658250676284943,0.0063119927862939585,0.14878268710550044,0.009918845807033363,0.0018034265103697023,True,True,True,True,False,False,False
720575940635290231,flow,afferent,1109,400,0.25,0.04,0.01,0.024346257889990983,0.7781785392245266,0.030658250676284943,0.0063119927862939585,0.14878268710550044,0.009918845807033363,0.0018034265103697023,False,True,False,True,False,False,False
720575940613924271,flow,afferent,674,400,0.25,0.14285714285714285,0.01,0.10237388724035608,0.7655786350148368,0.11275964391691394,0.00741839762611276,0.001483679525222552,0.010385756676557863,0.0,True,True,True,,False,,False
720575940613924271,flow,afferent,674,400,0.25,0.04,0.01,0.10237388724035608,0.7655786350148368,0.11275964391691394,0.00741839762611276,0.001483679525222552,0.010385756676557863,0.0,True,True,True,,False,,False
720575940625587970,flow,afferent,545,400,0.25,0.14285714285714285,0.01,0.047706422018348627,0.8110091743119267,0.06605504587155964,0.001834862385321101,0.062385321100917435,0.011009174311926606,0.0,True,True,True,True,False,,
720575940625587970,flow,afferent,545,400,0.25,0.04,0.01,0.047706422018348627,0.8110091743119267,0.06605504587155964,0.001834862385321101,0.062385321100917435,0.011009174311926606,0.0,True,True,True,True,False,,
720575940610079857,flow,afferent,471,400,0.25,0.14285714285714285,0.01,0.07006369426751592,0.7494692144373672,0.07643312101910828,0.008492569002123142,0.044585987261146494,0.04883227176220807,0.0021231422505307855,True,True,True,True,True,,False
720575940610079857,flow,afferent,471,400,0.25,0.04,0.01,0.07006369426751592,0.7494692144373672,0.07643312101910828,0.008492569002123142,0.044585987261146494,0.04883227176220807,0.0021231422505307855,True,True,True,True,False,,False
720575940608893623,flow,afferent,462,400,0.25,0.14285714285714285,0.01,0.04112554112554113,0.8398268398268398,0.08008658008658008,0.0,0.010822510822510822,0.02813852813852814,0.0,True,True,True,False,True,,
720575940608893623,flow,afferent,462,400,0.25,0.04,0.01,0.04112554112554113,0.8398268398268398,0.08008658008658008,0.0,0.010822510822510822,0.02813852813852814,0.0,True,True,True,False,False,,
720575940613127314,flow,afferent,577,400,0.25,0.14285714285714285,0.01,0.0831889081455806,0.7608318890814558,0.022530329289428077,0.005199306759098787,0.06759098786828423,0.058925476603119586,0.0017331022530329288,True,True,True,True,True,,False
720575940613127314,flow,afferent,577,400,0.25,0.04,0.01,0.0831889081455806,0.7608318890814558,0.022530329289428077,0.005199306759098787,0.06759098786828423,0.058925476603119586,0.0017331022530329288,True,True,False,True,True,,False
720575940610759634,flow,afferent,536,400,0.25,0.14285714285714285,0.01,0.11380597014925373,0.5839552238805971,0.2555970149253731,0.0037313432835820895,0.04291044776119403,0.0,0.0,True,True,True,True,,,False
720575940610759634,flow,afferent,536,400,0.25,0.04,0.01,0.11380597014925373,0.5839552238805971,0.2555970149253731,0.0037313432835820895,0.04291044776119403,0.0,0.0,True,True,True,True,,,False
720575940630964187,flow,afferent,475,400,0.25,0.14285714285714285,0.01,0.00631578947368421,0.8526315789473684,0.08210526315789474,0.002105263157894737,0.042105263157894736,0.014736842105263158,0.0,False,True,True,True,True,,
720575940630964187,flow,afferent,475,400,0.25,0.04,0.01,0.00631578947368421,0.8526315789473684,0.08210526315789474,0.002105263157894737,0.042105263157894736,0.014736842105263158,0.0,False,True,True,True,False,,
720575940627775943,flow,afferent,428,400,0.25,0.14285714285714285,0.01,0.007009345794392523,0.6752336448598131,0.14719626168224298,0.011682242990654205,0.0794392523364486,0.07710280373831775,0.002336448598130841,False,True,True,True,True,,True
720575940627775943,flow,afferent,428,400,0.25,0.04,0.01,0.007009345794392523,0.6752336448598131,0.14719626168224298,0.011682242990654205,0.0794392523364486,0.07710280373831775,0.002336448598130841,False,True,True,True,True,,True
720575940624111177,flow,afferent,415,400,0.25,0.14285714285714285,0.01,0.024096385542168676,0.5301204819277109,0.3228915662650602,0.0,0.060240963855421686,0.05542168674698795,0.007228915662650603,True,True,True,True,True,False,
